split,file,json_path_used,json_candidates_tried,nodes_total,pos_vulnerable,neg_non_vulnerable
train,shard_0003,Dataset/train/unified_aug\shard_0003.json,"[('Dataset/train/unified_aug\\shard_0003.json', 2, 'single-json')]",3141,2,3139
train,shard_0031,Dataset/train/unified_aug\shard_0031.json,"[('Dataset/train/unified_aug\\shard_0031.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0031.pt', 0, 'jsonl(0 lines)')]",7528,0,7528
train,shard_0038,Dataset/train/unified_aug\shard_0038.json,"[('Dataset/train/unified_aug\\shard_0038.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0038.pt', 0, 'jsonl(0 lines)')]",10945,0,10945
train,shard_0048,Dataset/train/unified_aug\shard_0048.json,"[('Dataset/train/unified_aug\\shard_0048.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0048.pt', 0, 'jsonl(0 lines)')]",10663,0,10663
train,shard_0051,Dataset/train/unified_aug\shard_0051.json,"[('Dataset/train/unified_aug\\shard_0051.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0051.pt', 0, 'jsonl(0 lines)')]",2973,0,2973
train,shard_0052,Dataset/train/unified_aug\shard_0052.json,"[('Dataset/train/unified_aug\\shard_0052.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0052.pt', 0, 'jsonl(0 lines)')]",7485,0,7485
train,shard_0062,Dataset/train/unified_aug\shard_0062.json,"[('Dataset/train/unified_aug\\shard_0062.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_0062.pt', 0, 'jsonl(0 lines)')]",801,0,801
train,shard_008b,Dataset/train/unified_aug\shard_008b.json,"[('Dataset/train/unified_aug\\shard_008b.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_008b.pt', 0, 'jsonl(0 lines)')]",12829,0,12829
train,shard_00a4,Dataset/train/unified_aug\shard_00a4.json,"[('Dataset/train/unified_aug\\shard_00a4.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_00a4.pt', 0, 'jsonl(0 lines)')]",4196,0,4196
train,shard_00ac,Dataset/train/unified_aug\shard_00ac.json,"[('Dataset/train/unified_aug\\shard_00ac.json', 0, 'single-json'), ('Dataset/train/unified_aug\\shard_00ac.pt', 0, 'jsonl(0 lines)')]",293,0,293
