idx,_id,file,lineNumber,_label,code,P
0,0,app/main3.c,2,BLOCK,#include <stdio.h>,0.5718553066253662
1,1,app/main3.c,3,BLOCK,#include <stdlib.h>,0.4761064052581787
2,2,app/main3.c,4,BLOCK,#include <string.h>,0.49674397706985474
3,3,app/main3.c,6,BLOCK,char* normalize_stage(char* in);,0.4397093653678894
4,4,app/main3.c,7,BLOCK,char* chain_stage(char* in);,0.42376452684402466
5,5,app/main3.c,8,BLOCK,void final_execute(char* cmd);,0.4264700412750244
6,6,app/main3.c,10,BLOCK,"int main(int argc, char** argv) {",0.4154331088066101
7,7,app/main3.c,11,BLOCK,char buf[256];,0.4827445149421692
8,8,app/main3.c,12,BLOCK,size_t len;,0.5352357625961304
9,9,app/main3.c,13,CALL,if (argc > 1) {,0.42698991298675537
10,10,app/main3.c,14,BLOCK,len = strlen(argv[1]);,0.5946109890937805
11,11,app/main3.c,15,CALL,if (len > sizeof(buf) - 1) {,0.4883253872394562
12,12,app/main3.c,16,BLOCK,len = sizeof(buf) - 1;,0.6020198464393616
13,13,app/main3.c,17,BLOCK,},0.6372713446617126
14,14,app/main3.c,18,CALL,"memset(buf, 0, sizeof(buf));",0.44589051604270935
15,15,app/main3.c,19,CALL,"strncpy(buf, argv[1], len);",0.4250563681125641
16,16,app/main3.c,20,BLOCK,buf[len] = '\0';,0.5747631788253784
17,17,app/main3.c,21,BLOCK,char* s1 = normalize_stage(buf);,0.5916103720664978
18,18,app/main3.c,22,BLOCK,char* s2 = chain_stage(s1);,0.619295597076416
19,19,app/main3.c,23,CALL,final_execute(s2);,0.48019978404045105
20,20,app/main3.c,24,BLOCK,},0.522249162197113
21,21,app/main3.c,25,BLOCK,return 0;,0.41404879093170166
22,22,app/main3.c,26,BLOCK,},0.5865437388420105
23,23,lib/normalize3.c,2,BLOCK,#include <stdio.h>,0.5525797605514526
24,24,lib/normalize3.c,3,BLOCK,#include <stdlib.h>,0.47355353832244873
25,25,lib/normalize3.c,4,BLOCK,#include <string.h>,0.48183926939964294
26,26,lib/normalize3.c,6,BLOCK,static char norm_buf1[256];,0.4730479121208191
27,27,lib/normalize3.c,7,BLOCK,static char norm_buf2[256];,0.45887842774391174
28,28,lib/normalize3.c,8,BLOCK,static char norm_buf3[256];,0.46902114152908325
29,29,lib/normalize3.c,10,BLOCK,static char* trim_leading(char* in) {,0.4174954295158386
30,30,lib/normalize3.c,11,BLOCK,size_t i = 0;,0.5163424611091614
31,31,lib/normalize3.c,12,BLOCK,size_t j = 0;,0.626483678817749
32,32,lib/normalize3.c,13,CALL,while (in[i] == ' ' || in[i] == '\t') {,0.39817744493484497
33,33,lib/normalize3.c,14,BLOCK,i++;,0.4604453146457672
34,34,lib/normalize3.c,15,BLOCK,},0.4954322874546051
35,35,lib/normalize3.c,16,CALL,while (in[i] != '\0' && j < sizeof(norm_buf1) - 1) {,0.4378734230995178
36,36,lib/normalize3.c,17,BLOCK,norm_buf1[j] = in[i];,0.5706204771995544
37,37,lib/normalize3.c,18,BLOCK,i++;,0.47581398487091064
38,38,lib/normalize3.c,19,BLOCK,j++;,0.4583340287208557
39,39,lib/normalize3.c,20,BLOCK,},0.4808918535709381
40,40,lib/normalize3.c,21,BLOCK,norm_buf1[j] = '\0';,0.5712774395942688
41,41,lib/normalize3.c,22,BLOCK,return norm_buf1;,0.5528079271316528
42,42,lib/normalize3.c,23,BLOCK,},0.5056382417678833
43,43,lib/normalize3.c,25,BLOCK,static char* trim_trailing(char* in) {,0.41955676674842834
44,44,lib/normalize3.c,26,BLOCK,size_t len = strlen(in);,0.5523473620414734
45,45,lib/normalize3.c,27,BLOCK,size_t end = len;,0.6643812656402588
46,46,lib/normalize3.c,28,CALL,while (end > 0 && (in[end - 1] == ' ' || in[end - 1] == '\t')) {,0.40980064868927
47,47,lib/normalize3.c,29,BLOCK,end--;,0.4631558358669281
48,48,lib/normalize3.c,30,BLOCK,},0.5237769484519958
49,49,lib/normalize3.c,31,CALL,if (end >= sizeof(norm_buf2)) {,0.3969217538833618
50,50,lib/normalize3.c,32,BLOCK,end = sizeof(norm_buf2) - 1;,0.5923289060592651
51,51,lib/normalize3.c,33,BLOCK,},0.6329609155654907
52,52,lib/normalize3.c,34,CALL,"memcpy(norm_buf2, in, end);",0.4700562059879303
53,53,lib/normalize3.c,35,BLOCK,norm_buf2[end] = '\0';,0.5977417826652527
54,54,lib/normalize3.c,36,BLOCK,return norm_buf2;,0.5709204077720642
55,55,lib/normalize3.c,37,BLOCK,},0.5029603838920593
56,56,lib/normalize3.c,39,BLOCK,static char* collapse_internal_spaces(char* in) {,0.48319655656814575
57,57,lib/normalize3.c,40,BLOCK,size_t i = 0;,0.527533233165741
58,58,lib/normalize3.c,41,BLOCK,size_t j = 0;,0.5705941915512085
59,59,lib/normalize3.c,42,BLOCK,int last_space = 0;,0.607502281665802
60,60,lib/normalize3.c,43,CALL,while (in[i] != '\0' && j < sizeof(norm_buf3) - 1) {,0.412689208984375
61,61,lib/normalize3.c,44,BLOCK,char c = in[i];,0.5954543948173523
62,62,lib/normalize3.c,45,CALL,if (c == ' ') {,0.467308908700943
63,63,lib/normalize3.c,46,CALL,if (!last_space) {,0.4187716841697693
64,64,lib/normalize3.c,47,BLOCK,norm_buf3[j] = c;,0.5439826250076294
65,65,lib/normalize3.c,48,BLOCK,j++;,0.5526353120803833
66,66,lib/normalize3.c,49,BLOCK,last_space = 1;,0.57088702917099
67,67,lib/normalize3.c,50,BLOCK,},0.48422616720199585
68,68,lib/normalize3.c,51,BLOCK,} else {,0.4737584590911865
69,69,lib/normalize3.c,52,BLOCK,norm_buf3[j] = c;,0.5659489631652832
70,70,lib/normalize3.c,53,BLOCK,j++;,0.5225329995155334
71,71,lib/normalize3.c,54,BLOCK,last_space = 0;,0.5144624710083008
72,72,lib/normalize3.c,55,BLOCK,},0.5368143320083618
73,73,lib/normalize3.c,56,BLOCK,i++;,0.4426100552082062
74,74,lib/normalize3.c,57,BLOCK,},0.5107086300849915
75,75,lib/normalize3.c,58,BLOCK,norm_buf3[j] = '\0';,0.5726392865180969
76,76,lib/normalize3.c,59,BLOCK,return norm_buf3;,0.5506021976470947
77,77,lib/normalize3.c,60,BLOCK,},0.48948878049850464
78,78,lib/normalize3.c,62,BLOCK,char* normalize_stage(char* in) {,0.45625951886177063
79,79,lib/normalize3.c,63,BLOCK,char* a = trim_leading(in);,0.5470001697540283
80,80,lib/normalize3.c,64,BLOCK,char* b = trim_trailing(a);,0.5486591458320618
81,81,lib/normalize3.c,65,BLOCK,char* c = collapse_internal_spaces(b);,0.5285421013832092
82,82,lib/normalize3.c,66,BLOCK,return c;,0.4755774438381195
83,83,lib/normalize3.c,67,BLOCK,},0.5776413679122925
84,84,lib/chain_exec3.c,2,BLOCK,#include <stdio.h>,0.5525797605514526
85,85,lib/chain_exec3.c,3,BLOCK,#include <stdlib.h>,0.4735288918018341
86,86,lib/chain_exec3.c,4,BLOCK,#include <string.h>,0.4808092713356018
87,87,lib/chain_exec3.c,6,BLOCK,static char cmd_buf1[512];,0.4771649241447449
88,88,lib/chain_exec3.c,7,BLOCK,static char cmd_buf2[512];,0.4529271721839905
89,89,lib/chain_exec3.c,8,BLOCK,static char cmd_buf3[512];,0.4888606369495392
90,90,lib/chain_exec3.c,10,BLOCK,static char* build_base_command(char* in) {,0.4412541091442108
91,91,lib/chain_exec3.c,11,CALL,"snprintf(cmd_buf1, sizeof(cmd_buf1), ""base_program %s"", in);",0.4758390188217163
92,92,lib/chain_exec3.c,12,BLOCK,return cmd_buf1;,0.384127676486969
93,93,lib/chain_exec3.c,13,BLOCK,},0.5682759881019592
94,94,lib/chain_exec3.c,15,BLOCK,static char* add_execution_flags(char* in) {,0.4801945984363556
95,95,lib/chain_exec3.c,16,CALL,"snprintf(cmd_buf2, sizeof(cmd_buf2), ""%s --mode=run --level=2"", in);",0.4220673143863678
96,96,lib/chain_exec3.c,17,BLOCK,return cmd_buf2;,0.5259294509887695
97,97,lib/chain_exec3.c,18,BLOCK,},0.560541033744812
98,98,lib/chain_exec3.c,20,BLOCK,static char* add_suffix_marker(char* in) {,0.4836193025112152
99,99,lib/chain_exec3.c,21,CALL,"snprintf(cmd_buf3, sizeof(cmd_buf3), ""%s --marker=end"", in);",0.3783034384250641
100,100,lib/chain_exec3.c,22,BLOCK,return cmd_buf3;,0.5610896944999695
101,101,lib/chain_exec3.c,23,BLOCK,},0.5149446129798889
102,102,lib/chain_exec3.c,25,BLOCK,char* chain_stage(char* in) {,0.46327584981918335
103,103,lib/chain_exec3.c,26,BLOCK,char* a = build_base_command(in);,0.5482420921325684
104,104,lib/chain_exec3.c,27,BLOCK,char* b = add_execution_flags(a);,0.5504521727561951
105,105,lib/chain_exec3.c,28,BLOCK,char* c = add_suffix_marker(b);,0.522050142288208
106,106,lib/chain_exec3.c,29,BLOCK,return c;,0.5527326464653015
107,107,lib/chain_exec3.c,30,BLOCK,},0.5655089020729065
108,108,lib/chain_exec3.c,32,BLOCK,void final_execute(char* cmd) {,0.4139949679374695
109,109,lib/chain_exec3.c,33,BLOCK,char local[512];,0.4542214870452881
110,110,lib/chain_exec3.c,34,BLOCK,size_t n;,0.5394944548606873
111,111,lib/chain_exec3.c,35,CALL,if (cmd == NULL) {,0.4432740807533264
112,112,lib/chain_exec3.c,36,BLOCK,return;,0.4818185865879059
113,113,lib/chain_exec3.c,37,BLOCK,},0.5351331830024719
114,114,lib/chain_exec3.c,38,BLOCK,n = strlen(cmd);,0.6070529222488403
115,115,lib/chain_exec3.c,39,CALL,if (n >= sizeof(local)) {,0.42727604508399963
116,116,lib/chain_exec3.c,40,BLOCK,n = sizeof(local) - 1;,0.6037952303886414
117,117,lib/chain_exec3.c,41,BLOCK,},0.6539478898048401
118,118,lib/chain_exec3.c,42,CALL,"memset(local, 0, sizeof(local));",0.47399869561195374
119,119,lib/chain_exec3.c,43,CALL,"strncpy(local, cmd, n);",0.43473732471466064
120,120,lib/chain_exec3.c,44,BLOCK,local[n] = '\0';,0.6328499913215637
121,121,lib/chain_exec3.c,45,CALL,system(local);,0.49785393476486206
122,122,lib/chain_exec3.c,46,BLOCK,},0.4655713140964508
