idx,_id,file,lineNumber,_label,code,P
0,0,app/main4.c,2,BLOCK,#include <stdio.h>,0.36422091722488403
1,1,app/main4.c,3,BLOCK,#include <stdlib.h>,0.4930407404899597
2,2,app/main4.c,4,BLOCK,#include <string.h>,0.48126959800720215
3,3,app/main4.c,6,BLOCK,char* stage_clean(char* in);,0.4924955666065216
4,4,app/main4.c,7,BLOCK,char* stage_route(char* in);,0.46182993054389954
5,5,app/main4.c,8,BLOCK,void stage_execute(char* cmd);,0.4841597378253937
6,6,app/main4.c,10,BLOCK,"int main(int argc, char** argv) {",0.5042882561683655
7,7,app/main4.c,11,BLOCK,char buf[256];,0.49413594603538513
8,8,app/main4.c,12,BLOCK,size_t n;,0.46879446506500244
9,9,app/main4.c,14,CALL,"memset(buf, 0, sizeof(buf));",0.42780789732933044
10,10,app/main4.c,15,CALL,"if (fgets(buf, sizeof(buf), stdin) == NULL) {",0.42503413558006287
11,11,app/main4.c,16,BLOCK,return 0;,0.44495582580566406
12,12,app/main4.c,17,BLOCK,},0.42287907004356384
13,13,app/main4.c,19,BLOCK,n = strlen(buf);,0.5500434041023254
14,14,app/main4.c,20,CALL,if (n > 0 && (buf[n - 1] == '\n' || buf[n - 1] == '\r')) {,0.4470612108707428
15,15,app/main4.c,21,BLOCK,buf[n - 1] = '\0';,0.49005022644996643
16,16,app/main4.c,22,BLOCK,},0.4825189709663391
17,17,app/main4.c,24,BLOCK,char* s1 = stage_clean(buf);,0.45808178186416626
18,18,app/main4.c,25,BLOCK,char* s2 = stage_route(s1);,0.440160870552063
19,19,app/main4.c,26,CALL,stage_execute(s2);,0.47716763615608215
20,20,app/main4.c,27,BLOCK,return 0;,0.451389878988266
21,21,app/main4.c,28,BLOCK,},0.509037971496582
22,22,lib/process4.c,2,BLOCK,#include <stdio.h>,0.37895581126213074
23,23,lib/process4.c,3,BLOCK,#include <stdlib.h>,0.5036947131156921
24,24,lib/process4.c,4,BLOCK,#include <string.h>,0.4564477801322937
25,25,lib/process4.c,6,BLOCK,static char clean_buf1[256];,0.46095559000968933
26,26,lib/process4.c,7,BLOCK,static char clean_buf2[256];,0.48052456974983215
27,27,lib/process4.c,8,BLOCK,static char clean_buf3[256];,0.4852340519428253
28,28,lib/process4.c,10,BLOCK,static char* remove_control_chars(char* in) {,0.42920225858688354
29,29,lib/process4.c,11,BLOCK,size_t i = 0;,0.5437639355659485
30,30,lib/process4.c,12,BLOCK,size_t j = 0;,0.5256337523460388
31,31,lib/process4.c,13,CALL,while (in[i] != '\0' && j < sizeof(clean_buf1) - 1) {,0.4615943729877472
32,32,lib/process4.c,14,BLOCK,unsigned char c = (unsigned char)in[i];,0.5017780661582947
33,33,lib/process4.c,15,CALL,if (c >= 32 || c == '\t') {,0.45378854870796204
34,34,lib/process4.c,16,BLOCK,clean_buf1[j] = in[i];,0.49944642186164856
35,35,lib/process4.c,17,BLOCK,j++;,0.5303557515144348
36,36,lib/process4.c,18,BLOCK,},0.42857614159584045
37,37,lib/process4.c,19,BLOCK,i++;,0.5720195770263672
38,38,lib/process4.c,20,BLOCK,},0.43711385130882263
39,39,lib/process4.c,21,BLOCK,clean_buf1[j] = '\0';,0.5519165396690369
40,40,lib/process4.c,22,BLOCK,return clean_buf1;,0.43200600147247314
41,41,lib/process4.c,23,BLOCK,},0.4649259150028229
42,42,lib/process4.c,25,BLOCK,static char* shorten_if_too_long(char* in) {,0.45072659850120544
43,43,lib/process4.c,26,BLOCK,size_t len = strlen(in);,0.5402771234512329
44,44,lib/process4.c,27,CALL,if (len >= sizeof(clean_buf2)) {,0.46032512187957764
45,45,lib/process4.c,28,BLOCK,len = sizeof(clean_buf2) - 1;,0.5208572149276733
46,46,lib/process4.c,29,BLOCK,},0.421373188495636
47,47,lib/process4.c,30,CALL,"memcpy(clean_buf2, in, len);",0.4773538410663605
48,48,lib/process4.c,31,BLOCK,clean_buf2[len] = '\0';,0.5155516266822815
49,49,lib/process4.c,32,BLOCK,return clean_buf2;,0.4638274013996124
50,50,lib/process4.c,33,BLOCK,},0.4870195686817169
